evtID,E,R
10000,9.325426,15624.7295
10001,1.7836123,14918.122
10002,0.9018832,9627.812
10003,5.7671175,13549.755
10004,3.7498894,3843.725
10005,3.076706,15806.011999999999
10006,4.823934599999999,16208.583
10007,3.5720042999999997,8362.882
10008,6.3485966,15858.956
10009,2.7038105,14612.317
10010,2.1605933,17674.557
10011,5.628465,17158.234
10012,1.6295481,12845.097
10013,10.177394999999999,12488.825
10014,4.923987,17035.348
10015,8.884910000000001,12306.075
10016,2.9484475,16965.572
10017,9.68542,12583.781
10018,1.4881878000000002,16282.58
10019,3.1630087000000002,17699.62
10020,3.9083695,15381.186000000002
10021,6.8697143,16195.211000000001
10022,2.9162936,11985.857
10023,6.774808,8630.722
10024,4.3017483,10841.14
10025,8.12003,17658.373
10026,9.029107000000002,13772.604
10027,5.672925,7972.4556
10028,8.225762,15256.008
10029,9.365179,16532.334
10030,1.16341,14885.363000000001
10031,9.223130000000001,12607.015
10032,4.7030187,13019.503
10033,8.5056505,14354.178999999998
10034,4.603939,9525.386
10035,8.276446,8104.210999999999
10036,1.0792785,16794.936
10037,3.2726990000000002,4491.9575
10038,10.316894,4994.6323
10039,8.291666000000001,11990.793
10040,8.2802,16468.465
10041,6.941595599999999,14568.969
10042,4.25666,11875.518999999998
10043,6.774939999999999,12955.028
10044,2.5888264,8639.6
10045,1.0769218,12226.409
10046,4.8726625,14802.559
10047,8.749266,15333.641000000001
10048,4.3505564,15183.133
10049,3.5522644999999997,7697.4033
10050,10.464135,16854.982
10051,8.059111,16981.95
10052,9.060699000000001,16448.334
10053,8.6656,10852.126
10054,8.664005,14847.251
10055,1.5775895,17071.988
10056,10.232732,5792.8022
10057,8.2183485,17427.648
10058,5.571895,10855.569
10059,9.009852,15271.573
10060,8.912593,10754.988000000001
10061,7.899534700000001,8491.5
10062,5.9108706,15044.025
10063,1.2470943,10495.954
10064,9.232957,15543.443000000001
10065,6.2685685,6921.555
10066,10.154373,12444.961000000001
10067,10.248431,8290.928
10068,2.712447,8079.4
10069,6.500617500000001,13239.702
10070,5.370118,10997.302
10071,6.227853,10506.073
10072,7.0487356,10018.937
10073,10.3520355,17029.018
10074,1.6778964,12983.291000000001
10075,1.5116906,11499.261
10076,8.796513000000001,13075.843
10077,4.246556,13973.274
10078,6.406011599999999,10579.588
10079,9.433319000000001,12341.242
10080,4.587823,6650.3296
10081,4.287081,4234.6665
10082,7.423808599999999,8533.589
10083,0.8371269,11234.258999999998
10084,5.096246,13289.339
10085,8.326046,5149.6816
10086,7.645810000000001,17400.658
10087,7.6603710000000005,17345.1
10088,8.001841,13147.983999999999
10089,6.4200800000000005,13190.607
10090,8.754843,13153.184
10091,8.935144000000001,16129.788999999999
10092,6.350155,8499.46
10093,8.560999,13510.13
10094,1.7667776000000002,8602.748
10095,1.5642899,16087.253999999999
10096,9.534563,11922.442
10097,9.27385,12618.201000000001
10098,4.3059745000000005,3643.3442
10099,7.237825999999999,11794.28
10100,0.8024638000000001,12799.1875
10101,4.7114970000000005,16547.16
10102,8.490983,16457.314
10103,4.079295,15447.035
10104,8.588481,12331.893
10105,0.5235463,15240.006000000001
10106,5.9058843,12768.142
10107,4.5969690000000005,16480.35
10108,3.3032413,17165.451
10109,9.224827000000001,11384.282
10110,7.717071000000001,2106.3455
10111,6.4419055,17326.504
10112,4.719883,16449.96
10113,5.741206,16317.638
10114,4.987934,16991.343999999997
10115,0.7684975000000001,15417.08
10116,8.5451145,3669.4590000000003
10117,4.034407,9653.681999999999
10118,6.2284755999999994,13085.653
10119,9.982553999999999,17488.004
10120,2.0066469,5675.382
10121,10.165479,16658.367
10122,6.375882,10634.55
10123,1.3327205,11747.685
10124,6.421121,10880.841999999999
10125,10.2739525,16111.989
10126,4.3155019999999995,7003.101
10127,5.0085816,15347.426000000001
10128,4.0390434,16993.084
10129,9.702159,13349.78
10130,3.4988153,16129.893
10131,10.05922,12024.653999999999
10132,8.391241,16062.628999999999
10133,5.611719,2616.7542
10134,7.041964999999999,17600.561999999998
10135,9.663634,6355.785
10136,9.405963,17542.646
10137,5.1914754,7563.9204
10138,7.453459700000001,15751.233
10139,6.642046499999999,9640.811
10140,1.3038766000000002,6875.8354
10141,4.731185400000001,9044.363000000001
10142,1.1935955,11501.527
10143,10.290933,15799.943000000001
10144,6.882084,4522.465
10145,0.69187635,13393.428999999998
10146,4.060366,16434.383
10147,3.9159696000000004,17148.604
10148,0.9789693000000002,12633.527
10149,4.548479,11154.175
10150,9.107477000000001,6342.471
10151,5.3963566,10531.585
10152,1.4031625,16051.718
10153,5.8430550000000006,11705.855
10154,9.000955000000001,5007.811
